「顕微鏡」を英語でいうと何？,microscope,kaleidoscope,microscope,telescope,periscope
「イルカ」を英語でいうと何？,dolphin,shake,turtle,dolphin,whale
「society」を日本語でいうと何？,社会,算数,国語,社会,理科
「銀河」を英語でいうと何？,galaxy,space,universe,cosmos,galaxy
「バネ」を英語でいうと何？,spring,fall,spring,winter,summer
「stone」を日本語でいうと何？,石,石,岩,砂,土
「passion」を日本語でいうと何？,情熱,忍耐,情熱,根性,勇気
「泡」を英語でいうと何？,bubble,beetle,pebble,bubble,bottle
「城」を英語でいうと何？,castle,catle,temple,tower,shrine
「skill」を日本語でいうと何？,技能,知恵,技能,価値,知識
「液体」を英語でいうと何？,liquid,solid,plasma,liquid,gas
「上着」を英語でいうと何？,jacket,rocket,cricket,bucket,jacket
「cause」を日本語でいうと何？,原因,必然,偶然,原因,結果
「ship」を日本語でいうと何？,船,電車,自動車,船,飛行機
「小指」を英語でいうと何？,pinky,pinky,redy,orangy,blacky
「Venus」を日本語でいうと何？,金星,天王星,金星,地球,木星
「警察」を英語でいうと何？,police,college,police,station,hospital
「浮き輪」を英語でいうと何？,swim ring,swin ring,metro,subway,underground
「wave」を日本語でいうと何？,波,音,風,波,光
「牛乳」を英語でいうと何？,milk,water,tea,juice,milk
「travel」を日本語でいうと何？,旅,旅,帯,カビ,海老
「緑」を英語でいうと何？,green,yellow,green,red,blue
「青」を英語でいうと何？,blue,red,green,blue,yellow
「choice」を日本語でいうと何？,選択,自由,選択,職業,移転
「cosmos」を日本語でいうと何？,秋桜,夏桜,冬桜,春桜,秋桜
「name」を日本語でいうと何？,名前,住所,名前,年齢,電話番号
「see」を日本語でいうと何？,見る,触る,見る,話す,聞く
「sky」を日本語でいうと何？,空,海,地,人,空
「気球」を英語でいうと何？,balloon,balloon,fireball,earth,water polo
「クリ」を英語でいうと何？,chestnut,peanut,chestnut,almond,walnut
「握手」を英語でいうと何？,shake hands,bare hands,tokyu hands,shake hands,change hands
「砂糖」英語でいうと何？,sugar,sugar,pepper,flour,salt
「photographer」を日本語でいうと何？,写真家,陶芸家,写真家,音楽家,作家
